Using custom data configuration default
Reusing dataset trec (/root/.cache/huggingface/datasets/trec/default/1.1.0/751da1ab101b8d297a3d6e9c79ee9b0173ff94c4497b75677b59b61d5467a9b9)
Using custom data configuration default
Reusing dataset trec (/root/.cache/huggingface/datasets/trec/default/1.1.0/751da1ab101b8d297a3d6e9c79ee9b0173ff94c4497b75677b59b61d5467a9b9)
{'label-coarse': 0, 'label-fine': 0, 'text': 'How did serfdom develop in and then leave Russia ?'}
load model
model loaded
prepare_dataset
5452
500
load classifier from training epoch 0
evaluation started
[   24] loss:, [4.014, 4.011, 4.048, 4.011, 4.011, 4.011, 4.084, 4.084, 4.042, 4.119, 4.084, 4.119, 3.392]
[   49] loss:, [3.935, 3.929, 3.965, 3.929, 3.929, 3.929, 4.001, 4.001, 3.96, 4.015, 4.001, 4.035, 3.356]
[   74] loss:, [3.907, 3.902, 3.939, 3.902, 3.902, 3.902, 3.974, 3.974, 3.947, 3.981, 3.974, 4.008, 3.342]
[   99] loss:, [3.893, 3.889, 3.925, 3.889, 3.889, 3.889, 3.96, 3.96, 3.93, 3.954, 3.95, 3.994, 3.316]
[  124] loss:, [3.877, 3.881, 3.909, 3.881, 3.881, 3.881, 3.944, 3.952, 3.928, 3.946, 3.944, 3.986, 3.327]
[  149] loss:, [3.873, 3.876, 3.905, 3.876, 3.876, 3.876, 3.94, 3.947, 3.927, 3.947, 3.934, 3.981, 3.331]
[  174] loss:, [3.87, 3.872, 3.903, 3.872, 3.872, 3.872, 3.938, 3.943, 3.92, 3.948, 3.932, 3.977, 3.315]
[  199] loss:, [3.868, 3.869, 3.901, 3.869, 3.869, 3.869, 3.935, 3.94, 3.92, 3.949, 3.925, 3.974, 3.323]
[  224] loss:, [3.866, 3.867, 3.899, 3.867, 3.867, 3.867, 3.934, 3.938, 3.92, 3.945, 3.925, 3.972, 3.322]
[  249] loss:, [3.865, 3.866, 3.898, 3.866, 3.866, 3.866, 3.932, 3.936, 3.92, 3.946, 3.924, 3.97, 3.301]
[  274] loss:, [3.86, 3.864, 3.893, 3.864, 3.864, 3.864, 3.928, 3.935, 3.92, 3.947, 3.924, 3.969, 3.308]
[  299] loss:, [3.859, 3.863, 3.892, 3.863, 3.863, 3.863, 3.927, 3.934, 3.92, 3.947, 3.924, 3.967, 3.306]
[  324] loss:, [3.859, 3.862, 3.892, 3.862, 3.862, 3.862, 3.927, 3.933, 3.92, 3.948, 3.924, 3.966, 3.289]
[  349] loss:, [3.858, 3.861, 3.891, 3.861, 3.861, 3.861, 3.926, 3.932, 3.92, 3.943, 3.923, 3.96, 3.295]
[  374] loss:, [3.858, 3.86, 3.891, 3.86, 3.86, 3.86, 3.926, 3.931, 3.921, 3.941, 3.921, 3.959, 3.313]
[  399] loss:, [3.857, 3.86, 3.891, 3.86, 3.86, 3.86, 3.926, 3.931, 3.921, 3.942, 3.921, 3.957, 3.304]
[  424] loss:, [3.857, 3.859, 3.891, 3.859, 3.859, 3.859, 3.925, 3.93, 3.921, 3.942, 3.921, 3.956, 3.303]
[  449] loss:, [3.857, 3.859, 3.89, 3.859, 3.859, 3.859, 3.925, 3.929, 3.921, 3.943, 3.921, 3.956, 3.302]
[  474] loss:, [3.856, 3.858, 3.89, 3.858, 3.858, 3.858, 3.925, 3.927, 3.916, 3.939, 3.918, 3.956, 3.306]
[  499] loss:, [3.856, 3.858, 3.89, 3.858, 3.858, 3.858, 3.925, 3.927, 3.917, 3.94, 3.915, 3.956, 3.313]
testing finished
