load classifier from +  "./probing_RoBERTa_QUES/nn_model_epoch_", training epoch 1
evaluation started
[   24] loss:, [3.59, 3.426, 3.579, 3.59, 3.59, 3.58, 3.59, 3.542, 3.467, 3.581, 3.71, 3.612, 3.592]
[   49] loss:, [3.567, 3.463, 3.557, 3.567, 3.566, 3.56, 3.567, 3.521, 3.452, 3.562, 3.634, 3.58, 3.58]
[   74] loss:, [3.543, 3.431, 3.533, 3.541, 3.541, 3.527, 3.544, 3.48, 3.398, 3.527, 3.623, 3.569, 3.549]
[   99] loss:, [3.506, 3.4, 3.498, 3.505, 3.505, 3.496, 3.507, 3.457, 3.377, 3.496, 3.598, 3.523, 3.504]
[  124] loss:, [3.512, 3.402, 3.503, 3.511, 3.511, 3.502, 3.512, 3.463, 3.387, 3.502, 3.615, 3.528, 3.492]
[  149] loss:, [3.517, 3.405, 3.508, 3.516, 3.516, 3.509, 3.518, 3.47, 3.394, 3.509, 3.606, 3.532, 3.478]
[  174] loss:, [3.503, 3.386, 3.495, 3.502, 3.502, 3.495, 3.503, 3.453, 3.373, 3.495, 3.605, 3.517, 3.457]
[  199] loss:, [3.517, 3.395, 3.508, 3.516, 3.516, 3.509, 3.517, 3.467, 3.386, 3.509, 3.615, 3.531, 3.461]
[  224] loss:, [3.518, 3.395, 3.51, 3.518, 3.518, 3.511, 3.519, 3.467, 3.385, 3.511, 3.613, 3.533, 3.468]
[  249] loss:, [3.497, 3.373, 3.489, 3.497, 3.496, 3.491, 3.498, 3.447, 3.365, 3.491, 3.584, 3.51, 3.454]
[  274] loss:, [3.503, 3.383, 3.494, 3.502, 3.502, 3.496, 3.504, 3.452, 3.371, 3.496, 3.582, 3.517, 3.461]
[  299] loss:, [3.506, 3.381, 3.497, 3.505, 3.504, 3.498, 3.506, 3.455, 3.373, 3.499, 3.58, 3.52, 3.46]
[  324] loss:, [3.493, 3.368, 3.484, 3.492, 3.491, 3.485, 3.493, 3.443, 3.361, 3.486, 3.579, 3.507, 3.444]
[  349] loss:, [3.499, 3.373, 3.491, 3.498, 3.498, 3.492, 3.5, 3.449, 3.368, 3.492, 3.586, 3.512, 3.45]
[  374] loss:, [3.51, 3.386, 3.502, 3.509, 3.509, 3.503, 3.511, 3.459, 3.379, 3.503, 3.593, 3.523, 3.458]
[  399] loss:, [3.505, 3.38, 3.496, 3.504, 3.504, 3.498, 3.506, 3.455, 3.375, 3.498, 3.586, 3.517, 3.447]
[  424] loss:, [3.506, 3.38, 3.497, 3.505, 3.505, 3.498, 3.507, 3.456, 3.376, 3.499, 3.589, 3.519, 3.445]
[  449] loss:, [3.504, 3.377, 3.495, 3.503, 3.502, 3.496, 3.505, 3.453, 3.373, 3.497, 3.585, 3.516, 3.441]
[  474] loss:, [3.506, 3.382, 3.498, 3.505, 3.505, 3.499, 3.507, 3.455, 3.375, 3.499, 3.588, 3.518, 3.443]
[  499] loss:, [3.513, 3.39, 3.504, 3.512, 3.512, 3.505, 3.514, 3.462, 3.382, 3.506, 3.593, 3.525, 3.453]
training finished
