load classifier from +  "./probing_RoBERTa_QUES/nn_model_epoch_", training epoch 0
evaluation started
[   24] loss:, [3.601, 3.493, 3.595, 3.598, 3.6, 3.597, 3.612, 3.597, 3.581, 3.594, 3.682, 3.611, 3.685]
[   49] loss:, [3.574, 3.492, 3.571, 3.573, 3.573, 3.572, 3.579, 3.571, 3.56, 3.57, 3.607, 3.578, 3.631]
[   74] loss:, [3.557, 3.48, 3.55, 3.554, 3.555, 3.552, 3.569, 3.55, 3.528, 3.549, 3.596, 3.567, 3.599]
[   99] loss:, [3.515, 3.448, 3.51, 3.513, 3.514, 3.512, 3.523, 3.51, 3.495, 3.51, 3.58, 3.522, 3.574]
[  124] loss:, [3.52, 3.453, 3.516, 3.519, 3.52, 3.518, 3.528, 3.516, 3.501, 3.516, 3.595, 3.527, 3.575]
[  149] loss:, [3.525, 3.459, 3.521, 3.523, 3.524, 3.523, 3.531, 3.521, 3.508, 3.521, 3.585, 3.53, 3.548]
[  174] loss:, [3.51, 3.448, 3.507, 3.509, 3.51, 3.508, 3.516, 3.507, 3.494, 3.506, 3.584, 3.516, 3.541]
[  199] loss:, [3.524, 3.459, 3.521, 3.523, 3.524, 3.522, 3.53, 3.521, 3.507, 3.52, 3.593, 3.53, 3.541]
[  224] loss:, [3.526, 3.459, 3.523, 3.525, 3.526, 3.524, 3.532, 3.522, 3.509, 3.522, 3.591, 3.531, 3.545]
[  249] loss:, [3.504, 3.438, 3.501, 3.503, 3.504, 3.502, 3.51, 3.501, 3.489, 3.501, 3.561, 3.509, 3.524]
[  274] loss:, [3.511, 3.446, 3.507, 3.509, 3.51, 3.509, 3.517, 3.507, 3.494, 3.507, 3.558, 3.516, 3.522]
[  299] loss:, [3.513, 3.447, 3.51, 3.512, 3.513, 3.511, 3.519, 3.51, 3.497, 3.509, 3.556, 3.518, 3.516]
[  324] loss:, [3.5, 3.435, 3.497, 3.499, 3.5, 3.498, 3.506, 3.497, 3.484, 3.496, 3.555, 3.505, 3.512]
[  349] loss:, [3.506, 3.441, 3.503, 3.505, 3.506, 3.504, 3.512, 3.503, 3.491, 3.503, 3.562, 3.511, 3.52]
[  374] loss:, [3.517, 3.452, 3.514, 3.516, 3.517, 3.515, 3.522, 3.514, 3.502, 3.514, 3.568, 3.521, 3.523]
[  399] loss:, [3.512, 3.447, 3.509, 3.51, 3.511, 3.51, 3.516, 3.508, 3.497, 3.509, 3.561, 3.516, 3.512]
[  424] loss:, [3.513, 3.447, 3.51, 3.512, 3.513, 3.511, 3.518, 3.509, 3.498, 3.51, 3.564, 3.517, 3.511]
[  449] loss:, [3.51, 3.445, 3.508, 3.509, 3.51, 3.509, 3.515, 3.507, 3.496, 3.507, 3.563, 3.515, 3.506]
[  474] loss:, [3.512, 3.449, 3.51, 3.512, 3.512, 3.511, 3.517, 3.509, 3.498, 3.51, 3.565, 3.516, 3.51]
[  499] loss:, [3.52, 3.453, 3.517, 3.519, 3.519, 3.518, 3.525, 3.516, 3.504, 3.517, 3.572, 3.524, 3.517]
training finished
